rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0.0,年/人物二/人物一,.*年.*人物二.*人物一.*,74,0.0,833.0,768.0,1
1.0,年/人物一/人物二,.*年.*人物一.*人物二.*,57,0.0,820.0,761.0,1
2.0,人物二/弟子/人物一,.*人物二.*弟子.*人物一.*,55,-1.0,400.0,947.0,-1
3.0,人物一/人物二/弟子,.*人物一.*人物二.*弟子.*,39,-1.0,400.0,940.0,-1
4.0,人物一/年/人物二,.*人物一.*年.*人物二.*,36,0.0,813.0,762.0,1
5.0,人物二/说/人物一,.*人物二.*说.*人物一.*,35,-1.0,258.0,540.0,-1
6.0,中/人物一/人物二,.*中.*人物一.*人物二.*,28,0.0,214.0,226.0,-1
7.0,人物/人物一/人物二,.*人物.*人物一.*人物二.*,26,0.0,447.0,395.0,1
8.0,人物二/人物一/说,.*人物二.*人物一.*说.*,25,0.0,260.0,546.0,-1
9.0,人物二/中/人物一,.*人物二.*中.*人物一.*,24,0.0,211.0,217.0,-1
10.0,月/人物二/人物一,.*月.*人物二.*人物一.*,24,0.0,582.0,474.0,1
11.0,人物/人物二/人物一,.*人物.*人物二.*人物一.*,23,0.0,451.0,367.0,1
12.0,中/人物二/人物一,.*中.*人物二.*人物一.*,22,0.0,232.0,224.0,1
13.0,人物二/人物一/年,.*人物二.*人物一.*年.*,21,0.0,814.0,759.0,1
14.0,人物二/弟弟/人物一,.*人物二.*弟弟.*人物一.*,21,1.0,1090.0,1057.0,1
15.0,人物一/人物二/中,.*人物一.*人物二.*中.*,19,0.0,256.0,232.0,1
16.0,人物一/人物二/说,.*人物一.*人物二.*说.*,19,-1.0,262.0,552.0,-1
17.0,人物一/中/人物二,.*人物一.*中.*人物二.*,18,0.0,209.0,216.0,-1
18.0,人物一/人物二/曹国舅,.*人物一.*人物二.*曹国舅.*,18,-1.0,1290.0,1649.0,-1
19.0,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,18,1.0,431.0,298.0,1
20.0,汉/人物一/人物二,.*汉.*人物一.*人物二.*,18,0.0,1282.0,1633.0,-1
21.0,铁拐李/人物一/人物二,.*铁拐李.*人物一.*人物二.*,18,-1.0,1319.0,1693.0,-1
22.0,人物一/人物二/为师,.*人物一.*人物二.*为师.*,17,-1.0,1399.0,1801.0,-1
23.0,人物一/人物二/成为,.*人物一.*人物二.*成为.*,17,1.0,698.0,828.0,-1
24.0,人物二/人物一/中,.*人物二.*人物一.*中.*,17,0.0,245.0,223.0,1
25.0,人物二/徒弟/人物一,.*人物二.*徒弟.*人物一.*,17,-1.0,1277.0,1670.0,-1
26.0,钟离/人物一/人物二,.*钟离.*人物一.*人物二.*,17,-1.0,1350.0,1707.0,-1
27.0,人物一/人物/人物二,.*人物一.*人物.*人物二.*,16,0.0,431.0,406.0,1
28.0,人物一/人物二/学生,.*人物一.*人物二.*学生.*,16,-1.0,1308.0,1834.0,-1
29.0,人物一/人物二/年,.*人物一.*人物二.*年.*,16,0.0,814.0,760.0,1
30.0,人物一/弟弟/人物二,.*人物一.*弟弟.*人物二.*,16,1.0,1088.0,1057.0,1
31.0,人物一/拜/人物二,.*人物一.*拜.*人物二.*,16,-1.0,1268.0,1632.0,-1
32.0,人物二/人物一/一个,.*人物二.*人物一.*一个.*,16,0.0,398.0,394.0,1
